supplement_name,medication_name,severity,description,recommendation,source
L-Theanine,Pantoprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. L-Theanine may affect CYP enzymes or transporters impacting Pantoprazole. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Quercetin,Hydrochlorothiazide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Quercetin may affect CYP enzymes or transporters impacting Hydrochlorothiazide.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
SAMe,Pregabalin,low,"Low likelihood of clinically significant interaction. SAMe may affect CYP enzymes or transporters impacting Pregabalin. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Atorvastatin,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Levothyroxine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Seamoss,Amlodipine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Seamoss may affect CYP enzymes or transporters impacting Amlodipine.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Citrate,Topiramate,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Rosuvastatin,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Individual response varies; comorbidities and dose matter. Creatine Monohydrate may affect CYP enzymes or transporters impacting Rosuvastatin.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Berberis Aristata,Lamotrigine,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Saw Palmetto,Pantoprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Saw Palmetto may affect CYP enzymes or transporters impacting Pantoprazole. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Chromium Picolinate,Bupropion,low,"Low likelihood of clinically significant interaction. Chromium Picolinate may affect CYP enzymes or transporters impacting Bupropion. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Probiotic Blend,Cyclobenzaprine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Warfarin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ashwagandha,Amoxicillin,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Ashwagandha may affect CYP enzymes or transporters impacting Amoxicillin.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginseng,Alprazolam,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Ginseng may affect CYP enzymes or transporters impacting Alprazolam.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Glucosamine,Aspirin (Low-Dose),moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Glucosamine may affect CYP enzymes or transporters impacting Aspirin (Low-Dose).","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
L-Arginine,Topiramate,low,Low likelihood of clinically significant interaction. L-Arginine may affect CYP enzymes or transporters impacting Topiramate. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Hyaluronic Acid,Gabapentin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Hyaluronic Acid may affect CYP enzymes or transporters impacting Gabapentin.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginkgo biloba,Metformin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
L-Theanine,Levothyroxine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin C,Fluoxetine,low,"Low likelihood of clinically significant interaction. Vitamin C may affect CYP enzymes or transporters impacting Fluoxetine. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zeaxanthin,Rosuvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Melatonin,Liraglutide,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Quercetin,Spironolactone,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Quetiapine,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Beef Liver (Desiccated) may affect CYP enzymes or transporters impacting Quetiapine. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginkgo biloba,Hydrocodone/Acetaminophen,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Ginkgo biloba may affect CYP enzymes or transporters impacting Hydrocodone/Acetaminophen. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Pregabalin,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zinc (Gluconate),Clopidogrel,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Phosphatidylserine,Alprazolam,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Astaxanthin,Ciprofloxacin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Astaxanthin may affect CYP enzymes or transporters impacting Ciprofloxacin.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin C,Sertraline,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Vitamin C may affect CYP enzymes or transporters impacting Sertraline.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Iron (Ferrous Sulfate),Levetiracetam,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Iron (Ferrous Sulfate) may affect CYP enzymes or transporters impacting Levetiracetam.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Resveratrol,Hydrocodone/Acetaminophen,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Resveratrol may affect CYP enzymes or transporters impacting Hydrocodone/Acetaminophen. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Fenugreek,Pantoprazole,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Fenugreek may affect CYP enzymes or transporters impacting Pantoprazole. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cinnamon (Ceylon),Fluoxetine,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Cinnamon (Ceylon) may affect CYP enzymes or transporters impacting Fluoxetine.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Saw Palmetto,Atorvastatin,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Saw Palmetto may affect CYP enzymes or transporters impacting Atorvastatin.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
L-Arginine,Warfarin,low,"Low likelihood of clinically significant interaction. L-Arginine may affect CYP enzymes or transporters impacting Warfarin. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cordyceps,Zolpidem,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Astaxanthin,Insulin (Lispro),low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Astaxanthin may affect CYP enzymes or transporters impacting Insulin (Lispro).,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cinnamon (Ceylon),Naproxen,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Cinnamon (Ceylon) may affect CYP enzymes or transporters impacting Naproxen.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Spirulina,Simvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Spirulina may affect CYP enzymes or transporters impacting Simvastatin.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Prebiotic Fiber (Inulin),Diclofenac,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacin (Flush),Naproxen,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Glucosamine,Simvastatin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
5-HTP,Lorazepam,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zeaxanthin,Pantoprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Zeaxanthin may affect CYP enzymes or transporters impacting Pantoprazole. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Probiotic Blend,Tramadol,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Probiotic Blend may affect CYP enzymes or transporters impacting Tramadol. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
SAMe,Gabapentin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin K2,Duloxetine,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Vitamin K2 may affect CYP enzymes or transporters impacting Duloxetine. Individual response varies; comorbidities and dose matter.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin C,Esomeprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Rhodiola,Esomeprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Chondroitin,Liraglutide,low,"Low likelihood of clinically significant interaction. Chondroitin may affect CYP enzymes or transporters impacting Liraglutide. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Taurine,Spironolactone,low,"Low likelihood of clinically significant interaction. Taurine may affect CYP enzymes or transporters impacting Spironolactone. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Berberis Aristata,Omeprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin K2,Ibuprofen,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Potassium Citrate,Lisinopril,low,Low likelihood of clinically significant interaction. Potassium Citrate may affect CYP enzymes or transporters impacting Lisinopril. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Phosphatidylserine,Pantoprazole,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Tyrosine,Spironolactone,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Insulin (Glargine),low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Pregabalin,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Absorption may be altered by pH, fiber, minerals, or chelation. Creatine Monohydrate may affect CYP enzymes or transporters impacting Pregabalin.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
GABA,Hydrochlorothiazide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. GABA may affect CYP enzymes or transporters impacting Hydrochlorothiazide.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Folate (5-MTHF),Ciprofloxacin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Lion’s Mane,Azithromycin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Red Yeast Rice,Pantoprazole,low,"Low likelihood of clinically significant interaction. Red Yeast Rice may affect CYP enzymes or transporters impacting Pantoprazole. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginkgo biloba,Pantoprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacin (Flush),Sertraline,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Resveratrol,Rosuvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Chlorella,Insulin (Glargine),low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacin (Flush),Pregabalin,low,Low likelihood of clinically significant interaction. Niacin (Flush) may affect CYP enzymes or transporters impacting Pregabalin. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Lion’s Mane,Lamotrigine,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Lion’s Mane may affect CYP enzymes or transporters impacting Lamotrigine.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Psyllium Husk,Bupropion,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zinc (Gluconate),Naproxen,low,"Low likelihood of clinically significant interaction. Zinc (Gluconate) may affect CYP enzymes or transporters impacting Naproxen. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Valerian Root,Bupropion,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Citrate,Fluoxetine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
