supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 430,Medication 34,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 211,Medication 116,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 256,Medication 19,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 400,Medication 61,low,Unknown,A,Auto-generated interaction
Supplement 259,Medication 130,moderate,Unknown,B,Auto-generated interaction
Supplement 325,Medication 34,high,Absorption reduction,A,Auto-generated interaction
Supplement 595,Medication 75,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 219,Medication 31,low,Absorption reduction,B,Auto-generated interaction
Supplement 85,Medication 70,severe,Absorption reduction,B,Auto-generated interaction
Supplement 771,Medication 144,low,Additive effect,C,Auto-generated interaction
Supplement 788,Medication 6,high,Additive effect,A,Auto-generated interaction
Supplement 69,Medication 129,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 264,Medication 81,low,Absorption reduction,B,Auto-generated interaction
Supplement 192,Medication 59,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 243,Medication 81,low,Unknown,C,Auto-generated interaction
Supplement 875,Medication 42,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 626,Medication 50,severe,Unknown,C,Auto-generated interaction
Supplement 48,Medication 20,severe,Absorption reduction,A,Auto-generated interaction
Supplement 851,Medication 118,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 198,Medication 68,high,Additive effect,A,Auto-generated interaction
Supplement 153,Medication 95,high,Unknown,B,Auto-generated interaction
Supplement 563,Medication 69,high,Additive effect,C,Auto-generated interaction
Supplement 528,Medication 137,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 667,Medication 41,moderate,Unknown,C,Auto-generated interaction
Supplement 818,Medication 138,severe,Absorption reduction,B,Auto-generated interaction
Supplement 49,Medication 29,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 196,Medication 97,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 956,Medication 26,low,Additive effect,B,Auto-generated interaction
Supplement 187,Medication 57,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 508,Medication 149,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 839,Medication 16,moderate,Unknown,A,Auto-generated interaction
Supplement 365,Medication 60,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 806,Medication 149,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 764,Medication 145,low,Additive effect,B,Auto-generated interaction
Supplement 626,Medication 50,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 271,Medication 133,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 5,Medication 18,severe,Absorption reduction,C,Auto-generated interaction
Supplement 195,Medication 35,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 662,Medication 39,severe,Additive effect,B,Auto-generated interaction
Supplement 207,Medication 103,low,Unknown,A,Auto-generated interaction
Supplement 608,Medication 7,high,Absorption reduction,B,Auto-generated interaction
Supplement 53,Medication 29,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 40,Medication 29,moderate,Additive effect,B,Auto-generated interaction
Supplement 3,Medication 131,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 666,Medication 47,high,Additive effect,C,Auto-generated interaction
Supplement 715,Medication 76,low,Absorption reduction,C,Auto-generated interaction
Supplement 715,Medication 44,severe,Absorption reduction,B,Auto-generated interaction
Supplement 958,Medication 112,severe,Unknown,B,Auto-generated interaction
Supplement 936,Medication 88,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 539,Medication 46,low,Absorption reduction,A,Auto-generated interaction
Supplement 732,Medication 142,low,Absorption reduction,C,Auto-generated interaction
Supplement 902,Medication 34,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 609,Medication 138,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 214,Medication 70,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 319,Medication 135,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 464,Medication 8,moderate,Additive effect,C,Auto-generated interaction
Supplement 446,Medication 70,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 763,Medication 34,high,Absorption reduction,C,Auto-generated interaction
Supplement 47,Medication 78,high,Additive effect,B,Auto-generated interaction
Supplement 303,Medication 64,moderate,Additive effect,A,Auto-generated interaction
Supplement 754,Medication 102,severe,Unknown,B,Auto-generated interaction
Supplement 968,Medication 124,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 148,Medication 51,low,Unknown,C,Auto-generated interaction
Supplement 378,Medication 103,moderate,Unknown,B,Auto-generated interaction
Supplement 575,Medication 57,low,Additive effect,B,Auto-generated interaction
Supplement 420,Medication 3,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 844,Medication 14,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 944,Medication 17,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 811,Medication 34,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 965,Medication 44,high,Unknown,A,Auto-generated interaction
Supplement 141,Medication 10,severe,Absorption reduction,A,Auto-generated interaction
Supplement 339,Medication 26,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 451,Medication 17,severe,Additive effect,A,Auto-generated interaction
Supplement 779,Medication 46,high,Additive effect,C,Auto-generated interaction
Supplement 751,Medication 91,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 560,Medication 147,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 425,Medication 12,moderate,Unknown,A,Auto-generated interaction
Supplement 234,Medication 4,high,Additive effect,A,Auto-generated interaction
Supplement 829,Medication 54,high,Additive effect,C,Auto-generated interaction
Supplement 938,Medication 55,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 361,Medication 45,severe,Additive effect,B,Auto-generated interaction
Supplement 403,Medication 2,severe,Unknown,C,Auto-generated interaction
Supplement 489,Medication 30,high,Additive effect,B,Auto-generated interaction
Supplement 284,Medication 149,severe,Additive effect,A,Auto-generated interaction
Supplement 690,Medication 130,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 766,Medication 26,low,Unknown,A,Auto-generated interaction
Supplement 654,Medication 63,low,Additive effect,C,Auto-generated interaction
Supplement 866,Medication 25,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 68,Medication 106,moderate,Unknown,B,Auto-generated interaction
Supplement 690,Medication 22,low,Unknown,A,Auto-generated interaction
Supplement 785,Medication 139,severe,Absorption reduction,C,Auto-generated interaction
Supplement 776,Medication 89,moderate,Additive effect,A,Auto-generated interaction
Supplement 189,Medication 111,moderate,Additive effect,B,Auto-generated interaction
Supplement 743,Medication 135,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 666,Medication 102,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 503,Medication 111,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 299,Medication 119,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 578,Medication 123,low,Additive effect,C,Auto-generated interaction
Supplement 993,Medication 5,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 196,Medication 144,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 450,Medication 112,low,Additive effect,B,Auto-generated interaction
Supplement 159,Medication 54,severe,Additive effect,B,Auto-generated interaction
Supplement 879,Medication 35,severe,Additive effect,C,Auto-generated interaction
Supplement 702,Medication 60,moderate,Unknown,A,Auto-generated interaction
Supplement 568,Medication 84,low,Unknown,A,Auto-generated interaction
Supplement 639,Medication 69,severe,Additive effect,C,Auto-generated interaction
Supplement 984,Medication 85,high,Absorption reduction,B,Auto-generated interaction
Supplement 445,Medication 111,severe,Unknown,B,Auto-generated interaction
Supplement 890,Medication 132,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 233,Medication 14,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 374,Medication 104,low,Absorption reduction,A,Auto-generated interaction
Supplement 828,Medication 150,moderate,Additive effect,B,Auto-generated interaction
Supplement 969,Medication 67,low,Absorption reduction,C,Auto-generated interaction
Supplement 63,Medication 58,moderate,Additive effect,B,Auto-generated interaction
Supplement 10,Medication 52,moderate,Unknown,B,Auto-generated interaction
Supplement 554,Medication 106,high,Unknown,B,Auto-generated interaction
Supplement 844,Medication 14,low,Unknown,A,Auto-generated interaction
Supplement 383,Medication 137,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 514,Medication 89,high,Additive effect,C,Auto-generated interaction
Supplement 590,Medication 13,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 460,Medication 70,severe,Absorption reduction,A,Auto-generated interaction
Supplement 350,Medication 33,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 585,Medication 108,severe,Unknown,B,Auto-generated interaction
Supplement 671,Medication 46,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 129,Medication 133,high,Unknown,B,Auto-generated interaction
Supplement 599,Medication 126,high,Unknown,A,Auto-generated interaction
Supplement 862,Medication 60,high,Additive effect,C,Auto-generated interaction
Supplement 304,Medication 46,moderate,Additive effect,B,Auto-generated interaction
Supplement 489,Medication 118,high,Unknown,C,Auto-generated interaction
Supplement 341,Medication 83,high,Additive effect,A,Auto-generated interaction
Supplement 747,Medication 47,high,Unknown,B,Auto-generated interaction
Supplement 852,Medication 128,severe,Absorption reduction,A,Auto-generated interaction
Supplement 348,Medication 11,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 878,Medication 67,low,Additive effect,C,Auto-generated interaction
Supplement 932,Medication 107,high,Unknown,C,Auto-generated interaction
Supplement 998,Medication 94,high,Absorption reduction,A,Auto-generated interaction
Supplement 163,Medication 92,low,Absorption reduction,A,Auto-generated interaction
Supplement 439,Medication 84,low,Additive effect,A,Auto-generated interaction
Supplement 945,Medication 121,moderate,Unknown,A,Auto-generated interaction
Supplement 563,Medication 11,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 914,Medication 6,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 434,Medication 132,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 566,Medication 45,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 183,Medication 95,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 478,Medication 137,moderate,Unknown,A,Auto-generated interaction
Supplement 593,Medication 39,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 801,Medication 9,low,Absorption reduction,B,Auto-generated interaction
Supplement 374,Medication 150,severe,Unknown,C,Auto-generated interaction
Supplement 702,Medication 4,low,Additive effect,C,Auto-generated interaction
Supplement 216,Medication 98,severe,Additive effect,B,Auto-generated interaction
Supplement 514,Medication 16,high,Unknown,B,Auto-generated interaction
Supplement 172,Medication 136,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 818,Medication 118,moderate,Additive effect,A,Auto-generated interaction
Supplement 516,Medication 144,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 735,Medication 64,low,Unknown,A,Auto-generated interaction
Supplement 731,Medication 58,low,Unknown,B,Auto-generated interaction
Supplement 665,Medication 93,high,Absorption reduction,C,Auto-generated interaction
Supplement 209,Medication 102,low,Additive effect,C,Auto-generated interaction
Supplement 265,Medication 123,low,Unknown,A,Auto-generated interaction
Supplement 473,Medication 118,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 427,Medication 101,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 811,Medication 37,high,Additive effect,C,Auto-generated interaction
Supplement 159,Medication 97,severe,Absorption reduction,B,Auto-generated interaction
Supplement 487,Medication 2,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 1000,Medication 84,low,Unknown,B,Auto-generated interaction
Supplement 853,Medication 56,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 397,Medication 118,low,Additive effect,C,Auto-generated interaction
Supplement 84,Medication 23,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 499,Medication 96,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 376,Medication 31,high,Unknown,C,Auto-generated interaction
Supplement 832,Medication 10,severe,Additive effect,C,Auto-generated interaction
Supplement 541,Medication 107,severe,Additive effect,A,Auto-generated interaction
Supplement 19,Medication 13,high,Absorption reduction,B,Auto-generated interaction
Supplement 794,Medication 146,severe,Unknown,C,Auto-generated interaction
Supplement 140,Medication 47,low,Unknown,A,Auto-generated interaction
Supplement 140,Medication 134,severe,Additive effect,C,Auto-generated interaction
Supplement 188,Medication 137,low,Unknown,C,Auto-generated interaction
Supplement 531,Medication 46,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 5,Medication 127,severe,Unknown,C,Auto-generated interaction
Supplement 704,Medication 111,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 623,Medication 70,low,Unknown,B,Auto-generated interaction
Supplement 887,Medication 81,low,Additive effect,A,Auto-generated interaction
Supplement 991,Medication 64,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 419,Medication 51,moderate,Unknown,B,Auto-generated interaction
Supplement 568,Medication 53,high,Additive effect,B,Auto-generated interaction
Supplement 92,Medication 51,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 256,Medication 99,severe,Additive effect,A,Auto-generated interaction
Supplement 107,Medication 17,severe,Additive effect,A,Auto-generated interaction
Supplement 547,Medication 51,high,Absorption reduction,A,Auto-generated interaction
Supplement 706,Medication 79,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 321,Medication 143,moderate,Additive effect,A,Auto-generated interaction
Supplement 391,Medication 88,low,Absorption reduction,B,Auto-generated interaction
Supplement 634,Medication 123,severe,Additive effect,A,Auto-generated interaction
Supplement 981,Medication 23,low,Additive effect,C,Auto-generated interaction
Supplement 274,Medication 52,low,Unknown,A,Auto-generated interaction
Supplement 688,Medication 103,low,Additive effect,C,Auto-generated interaction
Supplement 131,Medication 125,moderate,Unknown,B,Auto-generated interaction
Supplement 591,Medication 54,low,Absorption reduction,C,Auto-generated interaction
Supplement 279,Medication 145,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 908,Medication 69,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 242,Medication 1,low,Unknown,B,Auto-generated interaction
Supplement 574,Medication 109,severe,Additive effect,B,Auto-generated interaction
Supplement 112,Medication 121,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 891,Medication 148,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 958,Medication 10,high,Unknown,B,Auto-generated interaction
Supplement 49,Medication 18,high,Absorption reduction,A,Auto-generated interaction
Supplement 987,Medication 140,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 974,Medication 148,high,Absorption reduction,C,Auto-generated interaction
Supplement 117,Medication 5,high,Additive effect,A,Auto-generated interaction
Supplement 560,Medication 77,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 719,Medication 78,low,Additive effect,C,Auto-generated interaction
Supplement 641,Medication 141,low,Unknown,C,Auto-generated interaction
Supplement 693,Medication 25,low,Unknown,B,Auto-generated interaction
Supplement 437,Medication 3,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 424,Medication 104,severe,Unknown,C,Auto-generated interaction
Supplement 244,Medication 11,severe,Additive effect,B,Auto-generated interaction
Supplement 203,Medication 116,low,Absorption reduction,C,Auto-generated interaction
Supplement 517,Medication 46,severe,Additive effect,C,Auto-generated interaction
Supplement 71,Medication 107,high,Unknown,B,Auto-generated interaction
Supplement 259,Medication 94,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 16,Medication 22,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 666,Medication 70,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 696,Medication 139,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 788,Medication 1,severe,Additive effect,A,Auto-generated interaction
Supplement 583,Medication 88,moderate,Unknown,C,Auto-generated interaction
Supplement 370,Medication 106,severe,Unknown,B,Auto-generated interaction
Supplement 624,Medication 145,moderate,Additive effect,C,Auto-generated interaction
Supplement 259,Medication 111,severe,Unknown,B,Auto-generated interaction
Supplement 747,Medication 42,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 330,Medication 6,high,Additive effect,B,Auto-generated interaction
Supplement 518,Medication 92,severe,Additive effect,C,Auto-generated interaction
Supplement 211,Medication 44,low,Additive effect,B,Auto-generated interaction
Supplement 403,Medication 106,low,Unknown,B,Auto-generated interaction
Supplement 75,Medication 87,high,Additive effect,A,Auto-generated interaction
Supplement 495,Medication 84,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 832,Medication 108,low,Absorption reduction,A,Auto-generated interaction
Supplement 448,Medication 53,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 424,Medication 92,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 16,Medication 97,severe,Absorption reduction,C,Auto-generated interaction
Supplement 222,Medication 96,moderate,Unknown,C,Auto-generated interaction
Supplement 975,Medication 1,moderate,Unknown,C,Auto-generated interaction
Supplement 485,Medication 93,low,Additive effect,A,Auto-generated interaction
Supplement 146,Medication 114,severe,Additive effect,B,Auto-generated interaction
Supplement 34,Medication 21,high,Absorption reduction,B,Auto-generated interaction
Supplement 787,Medication 103,low,Absorption reduction,A,Auto-generated interaction
Supplement 522,Medication 14,severe,Absorption reduction,B,Auto-generated interaction
Supplement 25,Medication 101,low,Additive effect,C,Auto-generated interaction
Supplement 525,Medication 121,moderate,Unknown,B,Auto-generated interaction
Supplement 337,Medication 23,high,Unknown,A,Auto-generated interaction
Supplement 291,Medication 74,severe,Additive effect,B,Auto-generated interaction
Supplement 921,Medication 100,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 968,Medication 115,low,Additive effect,A,Auto-generated interaction
Supplement 798,Medication 76,high,Unknown,B,Auto-generated interaction
Supplement 346,Medication 118,low,Unknown,C,Auto-generated interaction
Supplement 922,Medication 82,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 613,Medication 125,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 729,Medication 136,severe,Unknown,C,Auto-generated interaction
Supplement 244,Medication 5,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 789,Medication 18,low,Absorption reduction,B,Auto-generated interaction
Supplement 85,Medication 52,moderate,Unknown,C,Auto-generated interaction
Supplement 175,Medication 28,low,Absorption reduction,B,Auto-generated interaction
Supplement 168,Medication 89,high,Unknown,B,Auto-generated interaction
Supplement 186,Medication 22,high,Additive effect,A,Auto-generated interaction
Supplement 226,Medication 143,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 734,Medication 13,moderate,Additive effect,B,Auto-generated interaction
Supplement 460,Medication 124,low,Additive effect,B,Auto-generated interaction
Supplement 270,Medication 24,low,Absorption reduction,C,Auto-generated interaction
Supplement 694,Medication 150,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 814,Medication 125,severe,Additive effect,A,Auto-generated interaction
Supplement 47,Medication 139,moderate,Additive effect,B,Auto-generated interaction
Supplement 849,Medication 99,high,Unknown,C,Auto-generated interaction
Supplement 623,Medication 80,moderate,Unknown,C,Auto-generated interaction
Supplement 615,Medication 123,low,Unknown,A,Auto-generated interaction
Supplement 68,Medication 22,moderate,Additive effect,A,Auto-generated interaction
Supplement 692,Medication 79,severe,Unknown,A,Auto-generated interaction
Supplement 652,Medication 134,severe,Absorption reduction,B,Auto-generated interaction
Supplement 219,Medication 91,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 487,Medication 28,moderate,Additive effect,B,Auto-generated interaction
Supplement 82,Medication 135,low,Unknown,A,Auto-generated interaction
Supplement 87,Medication 22,moderate,Unknown,A,Auto-generated interaction
Supplement 884,Medication 50,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 17,Medication 70,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 360,Medication 11,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 681,Medication 61,severe,Unknown,B,Auto-generated interaction
Supplement 205,Medication 108,low,Additive effect,C,Auto-generated interaction
Supplement 928,Medication 148,low,Additive effect,A,Auto-generated interaction
Supplement 247,Medication 110,high,Unknown,A,Auto-generated interaction
Supplement 125,Medication 57,severe,Additive effect,A,Auto-generated interaction
Supplement 655,Medication 106,severe,Unknown,A,Auto-generated interaction
Supplement 698,Medication 144,severe,Absorption reduction,C,Auto-generated interaction
Supplement 659,Medication 36,severe,Additive effect,A,Auto-generated interaction
Supplement 240,Medication 101,high,Absorption reduction,C,Auto-generated interaction
Supplement 156,Medication 47,low,Unknown,A,Auto-generated interaction
Supplement 311,Medication 104,high,Additive effect,A,Auto-generated interaction
Supplement 325,Medication 134,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 457,Medication 26,moderate,Additive effect,B,Auto-generated interaction
Supplement 215,Medication 71,severe,Additive effect,B,Auto-generated interaction
Supplement 948,Medication 19,severe,Absorption reduction,B,Auto-generated interaction
Supplement 92,Medication 18,severe,Unknown,B,Auto-generated interaction
Supplement 692,Medication 105,severe,Absorption reduction,C,Auto-generated interaction
Supplement 262,Medication 72,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 21,Medication 55,high,Absorption reduction,B,Auto-generated interaction
Supplement 18,Medication 135,low,Absorption reduction,B,Auto-generated interaction
Supplement 78,Medication 97,severe,Absorption reduction,C,Auto-generated interaction
Supplement 928,Medication 57,severe,Absorption reduction,C,Auto-generated interaction
Supplement 241,Medication 42,moderate,Unknown,C,Auto-generated interaction
Supplement 33,Medication 121,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 655,Medication 115,severe,Unknown,C,Auto-generated interaction
Supplement 690,Medication 150,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 343,Medication 34,moderate,Unknown,B,Auto-generated interaction
Supplement 192,Medication 148,high,Unknown,C,Auto-generated interaction
Supplement 755,Medication 10,low,Additive effect,C,Auto-generated interaction
Supplement 331,Medication 28,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 194,Medication 56,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 589,Medication 8,severe,Absorption reduction,A,Auto-generated interaction
Supplement 541,Medication 68,low,Additive effect,C,Auto-generated interaction
Supplement 460,Medication 138,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 212,Medication 65,low,Additive effect,B,Auto-generated interaction
Supplement 669,Medication 9,low,Unknown,C,Auto-generated interaction
Supplement 983,Medication 145,low,Absorption reduction,C,Auto-generated interaction
Supplement 254,Medication 78,severe,Absorption reduction,C,Auto-generated interaction
Supplement 170,Medication 85,moderate,Unknown,A,Auto-generated interaction
Supplement 515,Medication 27,moderate,Unknown,A,Auto-generated interaction
Supplement 352,Medication 91,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 162,Medication 129,high,Absorption reduction,C,Auto-generated interaction
Supplement 678,Medication 80,moderate,Unknown,A,Auto-generated interaction
Supplement 204,Medication 2,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 629,Medication 59,high,Unknown,B,Auto-generated interaction
Supplement 100,Medication 48,low,Additive effect,C,Auto-generated interaction
Supplement 14,Medication 102,low,Unknown,B,Auto-generated interaction
Supplement 486,Medication 1,severe,Additive effect,A,Auto-generated interaction
Supplement 857,Medication 81,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 610,Medication 105,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 711,Medication 5,moderate,Additive effect,C,Auto-generated interaction
Supplement 529,Medication 45,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 530,Medication 40,high,Absorption reduction,C,Auto-generated interaction
Supplement 406,Medication 1,high,Additive effect,B,Auto-generated interaction
Supplement 976,Medication 131,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 118,Medication 57,low,Additive effect,A,Auto-generated interaction
Supplement 181,Medication 136,severe,Unknown,B,Auto-generated interaction
Supplement 68,Medication 72,low,Unknown,C,Auto-generated interaction
Supplement 879,Medication 86,high,Additive effect,A,Auto-generated interaction
Supplement 977,Medication 18,severe,Unknown,B,Auto-generated interaction
Supplement 917,Medication 71,low,Additive effect,C,Auto-generated interaction
Supplement 325,Medication 150,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 849,Medication 61,severe,Additive effect,B,Auto-generated interaction
Supplement 137,Medication 101,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 269,Medication 41,severe,Unknown,C,Auto-generated interaction
Supplement 698,Medication 67,high,Additive effect,C,Auto-generated interaction
Supplement 455,Medication 123,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 86,Medication 121,high,Unknown,C,Auto-generated interaction
Supplement 568,Medication 49,high,Absorption reduction,A,Auto-generated interaction
Supplement 3,Medication 54,moderate,Unknown,C,Auto-generated interaction
Supplement 356,Medication 42,moderate,Unknown,B,Auto-generated interaction
Supplement 525,Medication 112,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 609,Medication 22,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 810,Medication 35,high,Unknown,A,Auto-generated interaction
Supplement 188,Medication 46,low,Additive effect,B,Auto-generated interaction
Supplement 615,Medication 67,moderate,Additive effect,B,Auto-generated interaction
Supplement 775,Medication 26,high,Absorption reduction,B,Auto-generated interaction
Supplement 249,Medication 66,moderate,Additive effect,A,Auto-generated interaction
Supplement 18,Medication 51,low,Absorption reduction,C,Auto-generated interaction
Supplement 776,Medication 47,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 851,Medication 59,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 495,Medication 80,severe,Absorption reduction,A,Auto-generated interaction
Supplement 120,Medication 28,severe,Absorption reduction,A,Auto-generated interaction
Supplement 8,Medication 46,low,Absorption reduction,A,Auto-generated interaction
Supplement 550,Medication 80,high,Absorption reduction,C,Auto-generated interaction
Supplement 567,Medication 59,severe,Unknown,A,Auto-generated interaction
Supplement 202,Medication 98,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 693,Medication 128,low,Unknown,C,Auto-generated interaction
Supplement 263,Medication 55,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 178,Medication 90,high,Absorption reduction,B,Auto-generated interaction
Supplement 6,Medication 3,high,Additive effect,C,Auto-generated interaction
Supplement 173,Medication 95,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 107,Medication 61,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 246,Medication 5,low,Unknown,A,Auto-generated interaction
Supplement 240,Medication 44,high,Absorption reduction,B,Auto-generated interaction
Supplement 644,Medication 76,low,Additive effect,C,Auto-generated interaction
Supplement 34,Medication 141,moderate,Unknown,C,Auto-generated interaction
Supplement 501,Medication 111,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 541,Medication 99,high,Additive effect,B,Auto-generated interaction
Supplement 911,Medication 32,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 6,Medication 88,moderate,Additive effect,B,Auto-generated interaction
Supplement 786,Medication 114,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 187,Medication 9,moderate,Unknown,B,Auto-generated interaction
Supplement 831,Medication 100,high,Unknown,C,Auto-generated interaction
Supplement 723,Medication 117,low,Additive effect,A,Auto-generated interaction
Supplement 508,Medication 87,moderate,Additive effect,B,Auto-generated interaction
Supplement 416,Medication 69,high,Additive effect,C,Auto-generated interaction
Supplement 562,Medication 65,severe,Additive effect,C,Auto-generated interaction
Supplement 357,Medication 110,moderate,Unknown,B,Auto-generated interaction
Supplement 872,Medication 25,low,Absorption reduction,A,Auto-generated interaction
Supplement 482,Medication 2,moderate,Additive effect,B,Auto-generated interaction
Supplement 588,Medication 64,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 900,Medication 143,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 260,Medication 145,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 719,Medication 92,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 480,Medication 90,moderate,Unknown,A,Auto-generated interaction
